Hora,DiaDaSemana,Temperatura,Chuva,EventoNaRegiao,EhFeriado,Ocupacao
16,5,21,0,0,0,93
17,5,15,0,0,0,85
18,5,24,0,0,0,49
19,5,20,0,1,0,95
20,5,17,1,0,0,56
21,5,17,0,0,0,54
22,5,21,0,1,0,99
23,5,15,0,0,0,55
0,6,16,0,0,0,9
1,6,28,0,0,0,12
2,6,29,0,0,0,15
3,6,18,0,0,0,11
4,6,15,0,0,0,6
5,6,16,0,0,0,6
6,6,14,1,0,0,52
7,6,28,0,0,0,29
8,6,25,0,0,0,93
9,6,17,0,0,0,79
10,6,27,1,0,0,90
11,6,25,0,0,0,91
12,6,15,1,0,0,100
13,6,20,0,0,0,80
14,6,26,0,0,0,70
15,6,18,0,0,0,86
16,6,22,0,0,0,87
17,6,24,1,0,0,93
18,6,25,0,0,0,41
19,6,21,0,0,0,58
20,6,17,0,0,0,51
21,6,26,0,0,0,50
22,6,21,1,1,0,96
23,6,23,0,1,0,95
0,0,25,0,0,1,12
1,0,20,0,0,1,6
2,0,21,0,0,1,12
3,0,19,1,0,1,29
4,0,19,0,0,1,6
5,0,19,0,0,1,7
6,0,17,0,0,1,37
7,0,18,1,0,1,37
8,0,20,0,0,1,78
9,0,21,0,0,1,89
10,0,27,0,0,1,75
11,0,16,0,0,1,86
12,0,25,0,0,1,76
13,0,19,1,0,1,100
14,0,16,0,0,1,70
15,0,17,0,0,1,90
16,0,20,0,0,1,78
17,0,23,0,0,1,83
18,0,24,0,0,1,35
19,0,21,0,0,1,49
20,0,29,0,0,1,34
21,0,26,0,0,1,41
22,0,15,0,0,1,39
23,0,20,0,0,1,58
0,1,24,0,0,0,8
1,1,23,1,0,0,26
2,1,23,0,0,0,11
3,1,18,0,0,0,11
4,1,25,0,0,0,11
5,1,28,0,0,0,8
6,1,23,0,0,0,36
7,1,25,0,0,0,22
8,1,27,0,0,0,89
9,1,26,1,0,0,86
10,1,26,0,0,0,79
11,1,15,0,0,0,81
12,1,27,0,0,0,93
13,1,25,0,0,0,76
14,1,18,0,0,0,77
15,1,21,0,0,0,90
16,1,19,1,0,0,100
17,1,15,0,0,0,78
18,1,12,1,0,0,47
19,1,25,0,0,0,49
20,1,25,1,0,0,43
21,1,18,0,0,0,46
22,1,23,0,0,0,33
23,1,20,0,0,0,39
0,2,25,1,0,0,19
1,2,18,0,0,0,9
2,2,17,0,0,0,12
3,2,19,0,0,0,11
4,2,16,0,0,0,5
5,2,24,1,0,0,21
6,2,28,0,0,0,33
7,2,28,0,0,0,39
8,2,29,0,0,0,86
9,2,15,0,0,0,78
10,2,23,0,0,0,91
11,2,30,0,0,0,83
12,2,18,0,0,0,91
13,2,16,0,0,0,77
14,2,25,1,0,0,88
15,2,19,0,0,0,80
16,2,30,0,0,0,95
17,2,15,0,0,0,82
18,2,29,0,0,0,52
19,2,29,0,0,0,40
20,2,16,1,0,0,66
21,2,28,0,0,0,30
22,2,17,0,0,0,56
23,2,28,0,0,0,36
0,3,22,0,0,0,15
1,3,15,0,0,0,10
2,3,17,0,0,0,8
3,3,18,0,0,0,10
4,3,25,0,0,0,11
5,3,30,0,0,0,15
6,3,28,0,0,0,32
7,3,24,1,0,0,33
8,3,25,0,0,0,75
9,3,22,1,0,0,87
10,3,23,1,0,0,92
11,3,29,0,0,0,81
12,3,16,0,0,0,75
13,3,27,0,0,0,84
14,3,26,0,0,0,76
15,3,29,0,0,0,79
16,3,23,0,0,0,88
17,3,21,0,0,0,86
18,3,25,0,0,0,35
19,3,17,1,0,0,78
20,3,20,0,0,0,45
21,3,25,0,0,0,51
22,3,24,1,0,0,51
23,3,19,1,0,0,69
0,4,17,0,0,0,10
1,4,12,1,0,0,20
2,4,20,1,0,0,23
3,4,21,0,0,0,9
4,4,21,0,0,0,14
5,4,22,0,0,0,9
6,4,24,1,0,0,36
7,4,25,0,0,0,22
8,4,27,0,0,0,92
9,4,25,0,0,0,85
10,4,24,0,0,0,70
11,4,20,0,0,0,88
12,4,30,0,0,0,74
13,4,22,0,0,0,83
14,4,30,0,0,0,70
15,4,17,0,0,0,91
16,4,13,1,0,0,100
17,4,27,0,0,0,85
18,4,15,0,0,0,57
19,4,17,0,0,0,54
20,4,17,1,0,0,53
21,4,28,0,0,0,49
22,4,25,0,0,0,44
23,4,18,0,0,0,33
0,5,24,0,0,0,8
1,5,24,0,0,0,9
2,5,23,0,0,0,13
3,5,29,0,0,0,14
4,5,17,0,0,0,10
5,5,24,0,0,0,8
6,5,22,0,0,0,25
7,5,17,0,0,0,38
8,5,25,0,0,0,85
9,5,17,1,0,0,96
10,5,20,1,0,0,89
11,5,24,0,0,0,72
12,5,16,0,0,0,93
13,5,26,0,0,0,74
14,5,17,0,0,0,94
15,5,24,0,0,0,75
16,5,25,0,0,0,72
17,5,23,1,0,0,98
18,5,27,0,0,0,51
19,5,22,0,0,0,39
20,5,18,0,0,0,42
21,5,23,0,1,0,95
22,5,16,1,0,0,47
23,5,26,0,0,0,58
0,6,19,0,0,0,14
1,6,21,0,0,0,7
2,6,18,0,0,0,9
3,6,29,0,0,0,11
4,6,29,0,0,0,9
5,6,28,0,0,0,8
6,6,19,0,0,0,27
7,6,12,1,0,0,47
8,6,19,0,0,0,93
9,6,17,0,0,0,75
10,6,28,0,0,0,91
11,6,30,0,0,0,95
12,6,20,0,0,0,83
13,6,28,0,0,0,77
14,6,29,0,0,0,72
15,6,24,0,0,0,84
16,6,25,0,0,0,88
17,6,22,1,0,0,100
18,6,14,1,0,0,59
19,6,22,0,0,0,38
20,6,26,0,0,0,47
21,6,23,0,1,0,97
22,6,21,0,0,0,53
23,6,21,0,0,0,39
0,0,29,0,0,0,6
1,0,22,0,0,0,10
2,0,30,0,0,0,6
3,0,24,1,0,0,30
4,0,22,0,0,0,11
5,0,29,0,0,0,6
6,0,28,0,0,0,24
7,0,21,0,0,0,38
8,0,21,0,0,0,85
9,0,17,0,0,0,74
10,0,30,0,0,0,82
11,0,26,0,0,0,80
12,0,21,1,0,0,99
13,0,12,1,0,0,87
14,0,23,0,0,0,94
15,0,23,0,0,0,94
16,0,26,0,0,0,74
17,0,17,0,0,0,80
18,0,18,0,0,0,52
19,0,23,0,0,0,45
20,0,29,0,0,0,52
21,0,22,0,0,0,39
22,0,23,0,0,0,31
23,0,21,1,0,0,57
0,1,17,0,0,0,8
1,1,18,1,0,0,17
2,1,15,0,0,0,13
3,1,26,0,0,0,7
4,1,24,0,0,0,13
5,1,15,0,0,0,10
6,1,22,0,0,0,34
7,1,27,0,0,0,31
8,1,15,0,0,0,80
9,1,25,1,0,0,100
10,1,25,0,0,0,70
11,1,25,0,0,0,84
12,1,17,0,0,0,95
13,1,21,0,0,0,87
14,1,30,0,0,0,81
15,1,16,0,0,0,88
16,1,15,0,0,0,78
17,1,21,0,0,0,75
18,1,19,0,0,0,38
19,1,17,0,0,0,42
20,1,16,0,0,0,42
21,1,17,0,0,0,32
22,1,18,0,0,0,53
23,1,21,0,0,0,45
0,2,21,1,0,0,23
1,2,28,0,0,0,5
2,2,25,0,0,0,14
3,2,21,1,0,0,30
4,2,19,0,0,0,15
5,2,26,0,0,0,15
6,2,25,0,0,0,25
7,2,29,0,0,0,26
8,2,24,0,0,0,92
9,2,13,1,0,0,91
10,2,21,0,0,0,95
11,2,19,0,0,0,85
12,2,21,0,0,0,84
13,2,18,0,0,0,94
14,2,17,0,0,0,94
15,2,16,0,0,0,86
16,2,29,0,0,0,90
17,2,26,0,0,0,85
18,2,28,0,0,0,48
19,2,25,0,0,0,49
20,2,25,1,0,0,44
21,2,25,1,0,0,58
22,2,28,0,0,0,45
23,2,28,0,0,0,54
0,3,17,0,0,0,7
1,3,16,0,0,0,11
2,3,16,0,0,0,14
3,3,23,1,0,0,29
4,3,30,0,0,0,7
5,3,12,1,0,0,25
6,3,29,0,0,0,31
7,3,30,0,0,0,37
8,3,24,0,0,0,84
9,3,17,0,0,0,82
10,3,27,0,0,0,72
11,3,22,0,0,0,70
12,3,26,0,0,0,73
13,3,26,0,0,0,72
14,3,17,0,0,0,81
15,3,21,1,0,0,96
16,3,20,0,0,0,95
17,3,28,0,0,0,95
18,3,25,0,0,0,34
19,3,20,0,0,0,43
20,3,30,0,0,0,54
21,3,24,1,0,0,56
22,3,28,0,0,0,48
23,3,15,0,0,0,31
0,4,23,0,0,0,15
1,4,27,0,0,0,15
2,4,14,1,0,0,27
3,4,16,0,0,0,14
4,4,26,0,0,0,8
5,4,17,0,0,0,15
6,4,25,0,0,0,20
7,4,15,0,0,0,40
8,4,16,1,0,0,91
9,4,15,0,0,0,70
10,4,20,1,0,0,91
11,4,29,0,0,0,76
12,4,19,0,0,0,95
13,4,26,0,0,0,86
14,4,13,1,0,0,100
15,4,17,0,0,0,88
16,4,16,0,0,0,78
17,4,18,0,0,0,82
18,4,27,0,0,0,54
19,4,12,1,0,0,47
20,4,28,0,0,0,31
21,4,17,0,0,0,46
22,4,23,0,0,0,56
23,4,20,0,0,0,48
0,5,28,0,0,0,14
1,5,16,0,0,0,5
2,5,27,0,0,0,9
3,5,19,1,0,0,25
4,5,24,0,0,0,5
5,5,21,0,0,0,9
6,5,24,0,0,0,32
7,5,14,1,0,0,56
8,5,27,0,0,0,70
9,5,19,0,0,0,81
10,5,26,0,0,0,94
11,5,16,0,0,0,76
12,5,22,0,0,0,86
13,5,26,0,0,0,92
14,5,28,0,0,0,92
15,5,18,0,0,0,73
16,5,19,0,0,0,88
17,5,26,0,0,0,92
18,5,16,1,0,0,53
19,5,23,0,1,0,95
20,5,22,0,0,0,48
21,5,30,0,0,0,42
22,5,30,0,0,0,41
23,5,30,0,0,0,55
0,6,26,0,0,0,11
1,6,28,0,0,0,9
2,6,19,0,0,0,15
3,6,28,0,0,0,5
4,6,21,0,0,0,7
5,6,16,0,0,0,13
6,6,30,0,0,0,38
7,6,17,0,0,0,34
8,6,20,0,0,0,92
9,6,28,0,0,0,82
10,6,24,0,0,0,79
11,6,16,0,0,0,75
12,6,23,1,0,0,99
13,6,23,0,0,0,75
14,6,18,0,0,0,79
15,6,27,0,0,0,89
16,6,23,0,0,0,80
17,6,24,0,0,0,90
18,6,26,0,0,0,56
19,6,23,0,1,0,98
20,6,30,0,0,0,59
21,6,19,0,1,0,96
22,6,24,0,0,0,47
23,6,26,0,0,0,57
0,0,20,0,0,0,9
1,0,17,0,0,0,12
2,0,15,0,0,0,15
3,0,15,0,0,0,8
4,0,16,0,0,0,8
5,0,23,0,0,0,7
6,0,20,0,0,0,38
7,0,25,0,0,0,38
8,0,26,0,0,0,88
9,0,20,1,0,0,100
10,0,29,0,0,0,80
11,0,19,0,0,0,93
12,0,25,0,0,0,94
13,0,15,1,0,0,84
14,0,19,0,0,0,81
15,0,18,1,0,0,98
16,0,17,0,0,0,94
17,0,20,0,0,0,89
18,0,23,1,0,0,51
19,0,25,0,0,0,48
20,0,19,0,0,0,51
21,0,16,0,0,0,50
22,0,29,0,0,0,53
23,0,30,0,0,0,33
0,1,20,0,0,0,5
1,1,21,0,0,0,7
2,1,15,0,0,0,7
3,1,25,0,0,0,13
4,1,17,0,0,0,9
5,1,23,0,0,0,8
6,1,19,1,0,0,33
7,1,12,1,0,0,52
8,1,29,0,0,0,86
9,1,19,0,0,0,77
10,1,25,0,0,0,76
11,1,18,0,0,0,71
12,1,17,0,0,0,81
13,1,21,0,0,0,90
14,1,19,0,0,0,72
15,1,27,0,0,0,80
16,1,23,1,0,0,100
17,1,20,0,0,0,80
18,1,19,0,0,0,54
19,1,17,1,0,0,47
20,1,27,0,0,0,46
21,1,25,0,0,0,39
22,1,24,0,0,0,37
23,1,16,0,0,0,45
0,2,22,0,0,0,15
1,2,19,0,0,0,6
2,2,22,0,0,0,7
3,2,18,0,0,0,10
4,2,29,0,0,0,12
5,2,15,0,0,0,7
6,2,20,0,0,0,38
7,2,18,1,0,0,57
8,2,25,0,0,0,89
9,2,29,0,0,0,71
10,2,21,1,0,0,96
11,2,26,0,0,0,75
12,2,24,0,0,0,89
13,2,27,0,0,0,94
14,2,29,0,0,0,87
15,2,29,0,0,0,89
16,2,24,0,0,0,77
17,2,27,0,0,0,79
18,2,29,0,0,0,46
19,2,20,0,0,0,44
20,2,15,0,0,0,56
21,2,28,0,0,0,31
22,2,21,1,0,0,44
23,2,21,0,0,0,55
0,3,23,1,0,0,20
1,3,18,0,0,0,8
2,3,22,0,0,0,7
3,3,15,0,0,0,12
4,3,23,0,0,0,12
5,3,26,0,0,0,11
6,3,21,0,0,0,39
7,3,29,0,0,0,22
8,3,16,0,0,0,83
9,3,28,0,0,0,74
10,3,15,0,0,0,85
11,3,17,0,0,0,76
12,3,16,1,0,0,97
13,3,18,0,0,0,95
14,3,30,0,0,0,76
15,3,17,0,0,0,81
16,3,25,0,0,0,86
17,3,28,0,0,0,95
18,3,25,0,0,0,38
19,3,17,1,0,0,73
20,3,24,0,0,0,33
21,3,20,0,0,0,48
22,3,20,0,0,0,41
23,3,20,0,0,0,59
0,4,16,0,0,0,8
1,4,29,0,0,0,9
2,4,20,0,0,0,10
3,4,26,1,0,0,28
4,4,29,0,0,0,8
5,4,19,1,0,0,22
6,4,19,1,0,0,53
7,4,13,1,0,0,39
8,4,18,0,0,0,81
9,4,22,0,0,0,74
10,4,18,0,0,0,81
11,4,16,0,0,0,79
12,4,17,0,0,0,94
13,4,16,0,0,0,85
14,4,30,0,0,0,77
15,4,30,0,0,0,79
16,4,24,1,0,0,94
17,4,26,0,0,0,70
18,4,21,0,0,0,53
19,4,18,0,0,0,58
20,4,12,1,0,0,49
21,4,25,0,0,0,49
22,4,26,0,0,0,56
23,4,15,0,0,0,60
0,5,16,0,0,0,7
1,5,13,1,0,0,25
2,5,21,0,0,0,13
3,5,18,1,0,0,29
4,5,15,0,0,0,15
5,5,24,1,0,0,29
6,5,23,0,0,0,20
7,5,24,0,0,0,27
8,5,16,1,0,0,88
9,5,17,0,0,0,94
10,5,27,0,0,0,84
11,5,22,1,0,0,100
12,5,29,0,0,0,70
13,5,25,0,0,0,85
14,5,15,0,0,0,90
15,5,24,0,0,0,84
16,5,25,0,0,0,91
17,5,21,0,0,0,90
18,5,26,0,0,0,38
19,5,24,0,0,0,47
20,5,26,0,1,0,97
21,5,24,0,1,0,99
22,5,30,0,0,0,48
23,5,30,0,0,0,41
0,6,19,0,0,0,14
1,6,17,1,0,0,17
2,6,25,1,0,0,33
3,6,28,0,0,0,8
4,6,12,1,0,0,24
5,6,29,0,0,0,6
6,6,22,1,0,0,39
7,6,17,0,0,0,23
8,6,26,0,0,0,79
9,6,19,0,0,0,71
10,6,26,1,0,0,87
11,6,23,0,0,0,88
12,6,29,0,0,0,78
13,6,19,0,0,0,75
14,6,12,1,0,0,96
15,6,18,0,0,0,83
16,6,27,1,0,0,100
17,6,18,0,0,0,71
18,6,28,0,0,0,50
19,6,29,0,1,0,96
20,6,22,1,1,0,95
21,6,27,0,1,0,96
22,6,17,0,0,0,55
23,6,19,0,1,0,96
0,0,21,1,0,0,21
1,0,28,0,0,0,5
2,0,27,0,0,0,13
3,0,28,0,0,0,14
4,0,12,1,0,0,18
5,0,21,0,0,0,8
6,0,18,0,0,0,31
7,0,29,0,0,0,40
8,0,23,0,0,0,94
9,0,24,0,0,0,79
10,0,16,1,0,0,91
11,0,27,1,0,0,100
12,0,26,0,0,0,93
13,0,25,1,0,0,81
14,0,17,0,0,0,84
15,0,19,1,0,0,100
16,0,18,0,0,0,78
17,0,19,0,0,0,71
18,0,25,0,0,0,32
19,0,23,0,0,0,59
20,0,19,0,0,0,35
21,0,20,1,0,0,74
22,0,20,0,0,0,51
23,0,28,0,0,0,50
0,1,27,1,0,0,25
1,1,23,0,0,0,10
2,1,26,0,0,0,14
3,1,16,0,0,0,9
4,1,16,0,0,0,8
5,1,14,1,0,0,24
6,1,26,0,0,0,38
7,1,21,1,0,0,35
8,1,21,1,0,0,100
9,1,24,0,0,0,78
10,1,22,0,0,0,74
11,1,24,0,0,0,80
12,1,17,0,0,0,71
13,1,29,0,0,0,93
14,1,20,0,0,0,94
15,1,15,0,0,0,70
16,1,29,0,0,0,88
17,1,27,0,0,0,74
18,1,28,0,0,0,36
19,1,16,0,0,0,57
20,1,28,0,0,0,36
21,1,23,1,0,0,58
22,1,15,1,0,0,51
23,1,25,0,0,0,43
0,2,27,0,0,0,6
1,2,26,0,0,0,15
2,2,28,0,0,0,7
3,2,28,0,0,0,15
4,2,19,0,0,0,6
5,2,19,1,0,0,25
6,2,19,0,0,0,23
7,2,27,0,0,0,39
8,2,24,0,0,0,75
9,2,28,0,0,0,77
10,2,27,0,0,0,70
11,2,19,0,0,0,80
12,2,29,0,0,0,86
13,2,23,0,0,0,78
14,2,19,0,0,0,78
15,2,18,1,0,0,89
16,2,26,0,0,0,70
17,2,22,0,0,0,72
18,2,21,0,0,0,33
19,2,25,1,0,0,61
20,2,24,0,0,0,46
21,2,15,0,0,0,43
22,2,20,0,0,0,55
23,2,16,0,0,0,39
0,3,21,1,0,0,33
1,3,19,0,0,0,7
2,3,16,0,0,0,10
3,3,15,1,0,0,20
4,3,22,0,0,0,14
5,3,21,0,0,0,7
6,3,25,0,0,0,40
7,3,23,0,0,0,27
8,3,21,0,0,0,95
9,3,26,0,0,0,91
10,3,17,0,0,0,82
11,3,20,0,0,0,83
12,3,19,0,0,0,91
13,3,18,0,0,0,87
14,3,21,1,0,0,100
15,3,27,0,0,0,86
16,3,15,0,0,0,74
17,3,27,0,0,0,70
18,3,28,0,0,0,34
19,3,28,0,0,0,31
20,3,19,0,0,0,33
21,3,26,0,0,0,48
22,3,24,0,0,0,37
23,3,14,1,0,0,56
0,4,16,0,0,0,6
1,4,25,0,0,0,10
2,4,16,0,0,0,11
3,4,18,0,0,0,15
4,4,21,1,0,0,26
5,4,24,0,0,0,15
6,4,23,0,0,0,23
7,4,27,1,0,0,43
8,4,25,0,0,0,86
9,4,16,1,0,0,85
10,4,24,0,0,0,73
11,4,25,0,0,0,83
12,4,30,0,0,0,88
13,4,23,1,0,0,100
14,4,23,0,0,0,76
15,4,29,0,0,0,77
16,4,22,0,0,0,70
17,4,17,0,0,0,70
18,4,16,0,0,0,33
19,4,24,1,0,0,69
20,4,24,0,0,0,33
21,4,22,0,0,0,45
22,4,24,1,0,0,49
23,4,13,1,0,0,58
0,5,18,0,0,0,6
1,5,15,0,0,0,12
2,5,15,0,0,0,7
3,5,25,0,0,0,9
4,5,17,1,0,0,26
5,5,17,0,0,0,7
6,5,16,0,0,0,26
7,5,16,0,0,0,37
8,5,28,0,0,0,79
9,5,20,0,0,0,87
10,5,26,0,0,0,86
11,5,22,1,0,0,100
12,5,26,0,0,0,87
13,5,23,0,0,0,70
14,5,27,0,0,0,95
15,5,24,1,0,0,83
16,5,16,0,0,0,95
17,5,15,0,0,0,85
18,5,26,0,0,0,55
19,5,28,0,0,0,56
20,5,20,0,0,0,48
21,5,20,1,1,0,96
22,5,27,0,0,0,57
23,5,25,0,0,0,44
0,6,18,1,0,0,30
1,6,19,0,0,0,12
2,6,13,1,0,0,24
3,6,29,0,0,0,14
4,6,30,0,0,0,10
5,6,23,0,0,0,8
6,6,15,0,0,0,35
7,6,16,0,0,0,21
8,6,27,0,0,0,75
9,6,19,0,0,0,71
10,6,16,0,0,0,87
11,6,12,1,0,0,92
12,6,23,0,0,0,85
13,6,15,0,0,0,79
14,6,28,0,0,0,75
15,6,17,0,0,0,86
16,6,26,0,0,0,94
17,6,29,0,0,0,88
18,6,15,0,0,0,43
19,6,21,1,0,0,50
20,6,20,1,0,0,47
21,6,12,1,1,0,96
22,6,18,1,1,0,98
23,6,21,1,1,0,99
0,0,16,0,0,0,10
1,0,29,0,0,0,8
2,0,21,0,0,0,11
3,0,21,0,0,0,14
4,0,30,0,0,0,10
5,0,28,0,0,0,7
6,0,27,1,0,0,50
7,0,16,0,0,0,39
8,0,30,0,0,0,85
9,0,29,0,0,0,95
10,0,25,0,0,0,73
11,0,22,0,0,0,90
12,0,29,0,0,0,91
13,0,22,0,0,0,76
14,0,19,0,0,0,75
15,0,27,0,0,0,71
16,0,25,0,0,0,83
17,0,23,0,0,0,91
18,0,12,1,0,0,48
19,0,16,0,0,0,33
20,0,19,1,0,0,57
21,0,26,0,0,0,59
22,0,15,0,0,0,54
23,0,25,1,0,0,52
0,1,29,0,0,0,15
1,1,24,0,0,0,11
2,1,29,0,0,0,6
3,1,15,0,0,0,14
4,1,24,0,0,0,15
5,1,25,0,0,0,7
6,1,29,0,0,0,22
7,1,24,0,0,0,39
8,1,27,1,0,0,96
9,1,28,0,0,0,77
10,1,24,0,0,0,71
11,1,23,0,0,0,83
12,1,16,1,0,0,87
13,1,19,1,0,0,88
14,1,16,1,0,0,92
15,1,21,0,0,0,90
16,1,16,0,0,0,77
17,1,18,0,0,0,94
18,1,20,0,0,0,45
19,1,20,0,0,0,32
20,1,23,0,0,0,51
21,1,18,0,0,0,48
22,1,18,1,0,0,48
23,1,19,1,0,0,66
0,2,24,0,0,0,15
1,2,26,0,0,0,14
2,2,30,0,0,0,14
3,2,16,0,0,0,8
4,2,25,0,0,0,5
5,2,20,0,0,0,8
6,2,15,0,0,0,27
7,2,29,0,0,0,26
8,2,27,0,0,0,88
9,2,17,0,0,0,72
10,2,23,0,0,0,93
11,2,29,0,0,0,83
12,2,16,0,0,0,78
13,2,24,0,0,0,82
14,2,18,0,0,0,95
15,2,19,0,0,0,81
16,2,25,1,0,0,100
17,2,29,0,0,0,90
18,2,16,0,0,0,55
19,2,20,0,0,0,53
20,2,21,0,0,0,43
21,2,22,0,0,0,34
22,2,23,1,0,0,43
23,2,26,1,0,0,48
0,3,21,0,0,0,5
1,3,16,0,0,0,13
2,3,30,0,0,0,6
3,3,24,0,0,0,12
4,3,15,1,0,0,17
5,3,23,0,0,0,8
6,3,18,0,0,0,29
7,3,16,0,0,0,38
8,3,21,0,0,0,91
9,3,26,0,0,0,78
10,3,19,0,0,0,90
11,3,30,0,0,0,89
12,3,26,1,0,0,100
13,3,15,1,0,0,89
14,3,22,0,0,0,92
15,3,17,0,0,0,73
16,3,15,0,0,0,70
17,3,24,0,0,0,71
18,3,18,0,0,0,52
19,3,20,1,0,0,62
20,3,15,0,0,0,48
21,3,18,0,0,0,31
22,3,18,0,0,0,58
23,3,25,0,0,0,36
0,4,24,0,0,0,15
1,4,29,0,0,0,8
2,4,17,0,0,0,8
3,4,25,0,0,0,5
4,4,30,0,0,0,13
5,4,21,0,0,0,15
6,4,19,0,0,0,38
7,4,29,0,0,0,25
8,4,25,0,0,0,77
9,4,24,0,0,0,78
10,4,25,0,0,0,78
11,4,21,0,0,0,84
12,4,21,0,0,0,91
13,4,17,1,0,0,100
14,4,25,0,0,0,91
15,4,28,0,0,0,83
16,4,21,0,0,0,81
17,4,23,0,0,0,81
18,4,25,0,0,0,42
19,4,19,0,0,0,58
20,4,25,0,0,0,30
21,4,28,0,0,0,56
22,4,24,0,0,0,50
23,4,25,0,0,0,31
0,5,26,1,0,0,23
1,5,29,0,0,0,15
2,5,29,0,0,0,6
3,5,27,0,0,0,7
4,5,19,0,0,0,14
5,5,26,0,0,0,7
6,5,29,0,0,0,35
7,5,22,0,0,0,22
8,5,26,0,0,0,72
9,5,18,0,0,0,86
10,5,29,0,0,0,80
11,5,26,1,0,0,97
12,5,16,1,0,0,82
13,5,23,0,0,0,92
14,5,25,0,0,0,77
15,5,23,0,0,0,80
16,5,23,0,0,0,85
17,5,27,0,0,0,94
18,5,24,0,0,0,38
19,5,18,0,0,0,37
20,5,27,1,0,0,63
